天命,https://www.biqukan.cc/book/5860/,九品一局 / 著,我刚出生的时候，喝了几天狼奶，我把这头狼当妈，我以为我一辈子见不到她，直到有一个女人过来找我……可以关注威信:九品一局微薄:九..
道祖，我来自地球,https://www.biqukan.cc/book/56053/,乌山云雨 / 著,少年杨安，站在万众瞩目的荣耀大神庆典上，正接受漂亮小姐姐的采访时，意外穿越异世。 来不及说的梦想――娶一个温柔漂亮的小媳妇..
大魔王娇养指南,https://www.biqukan.cc/book/54501/,风行水云间 / 著,曾经叱咤风云冷血无情的千岁大人，一朝沦为小叫花的精神导师。 不行，她请求换人！她还有远大前程，她的目标是星辰大海！ 但..
剑骨,https://www.biqukan.cc/book/50114/,会摔跤的熊猫 / 著,霜杀百草的年代，少年走出菩萨庙，接过全天下最重的剑，向着人世间，斩开了一线光明。 …… …… VIP群【莲阁】：549974..
逆剑狂神,https://www.biqukan.cc/book/1864/,一剑清新 / 著,少年林轩，灵脉被封，遭人欺辱。偶得神秘小剑，开灵脉，练神功，悟无上剑道，演化攻伐圣术！一剑星辰灭，一剑鬼神惊！一剑在手，一世..
我真要逆天啦,https://www.biqukan.cc/book/54787/,柳一条 / 著,你煮了两个鸡蛋，厨艺+1。 你吃了口早餐，咬合力有所提升。 你骑了次单车，驾驶能力+1 你看了眼美女，心情很愉悦，肾功能..
剑破九天,https://www.biqukan.cc/book/22390/,何无恨 / 著,他本是皇城第一武道天才，却惨遭未婚妻设计谋害，被夺取毕生修为和天赋血脉，更沦为天下人耻笑的废物。 丹田被毁，他注定要背负一..
剑仙在此,https://www.biqukan.cc/book/56245/,乱世狂刀 / 著,表面上他是个剑仙。实际上&amp;amp;hellip;&amp;amp;hellip;他是一个挂逼。 公众号【乱世狂刀】。 QQ群：189743494，所有读者皆可加！
不朽神王,https://www.biqukan.cc/book/42881/,薛定谔的帅 / 著,唯我独尊乾坤中，掌指覆过日月空。大道无涯身做岸，仙登绝顶我为峰。 姜小白天生奇骨，蕴含无上奥秘，却被诬陷为天生反骨。 ..
修仙琐录,https://www.biqukan.cc/book/53275/,望月归舟 / 著,“趁着师尊及几位师叔、仙子都闭关了，小弟写了本关于他们这些人的传记，一百块灵石一本，嗨嗨嗨，别走啊你们，价格可以商量，回来呀..
万古第一神,https://www.biqukan.cc/book/56017/,风青阳 / 著,【百万读者收藏，热销榜、人气榜第一作品！】 李天命做梦都要笑醒了。 他家的宠物，竟然都是传说中的太古混沌巨兽！ 他的..
丹宫之主,https://www.biqukan.cc/book/4794/,秦日蓝 / 著,她真的回来了，重生在小辰界即将破碎的时候，重生这一世，她只想好好保住自己的一对小包子……
牧龙师,https://www.biqukan.cc/book/56539/,乱 / 著,这片大陆上任何生灵都有几率化龙。 传言每个生命都有自己的一道龙门，跃过之后，宛如苍穹日月，耀眼辉煌。 人也是如此。 ..
万世为王,https://www.biqukan.cc/book/51221/,贪睡的龙 / 著,再生少年时，重行修行路，既如此，此生当无敌，诸天千域，万世为王！ 微信公众号：贪睡的龙。诚邀亲们关注！
重生之投资大亨,https://www.biqukan.cc/book/56733/,不谷 / 著,既然重生，就得富可敌国！ 不对，自己得先去找美若天仙的老婆。 这时候的她，还没跟前任谈恋爱，得赶紧下手！ 可不能便宜..
末世胖妹逆袭记,https://www.biqukan.cc/book/3645/,包包紫 / 著,体重二百五，拥有喝水都胖体质的乔绫香，被人打死在了一块农田里，她没穿越也没重生，自己睁开眼诈尸了。 然后，就得了个奇怪的..
我真不是大佬,https://www.biqukan.cc/book/56475/,快餐店 / 著,一个神秘，古老，超然的组织。 它不知存在多少年，极少人知道，却影响文明更替，诸天格局，渗透多元宇宙的方方面面。 纵横星..
万界仙王,https://www.biqukan.cc/book/35756/,西门飘血 / 著,是谁，动摇了星河呐，星屑都洒落了……叶枫，伸了个懒腰，拿起了神帚可以拾起星禾，边扫边乐呵可以轮转乾坤，让一切重来他的故事，我..
玄门遗孤,https://www.biqukan.cc/book/55103/,晓v俊 / 著,一把桃木剑，一个罗盘，一把朱砂，斗恶鬼，捉僵尸，茅山遗孤，修炼传承道法，在走风云江湖。 茅山群号：327812766 茅山执事群..
无敌从神级掠夺开始,https://www.biqukan.cc/book/56700/,卓韦四郎 / 著,遭人陷害，武魂被夺，修为尽失的古天奕，竟意外获得神级掠夺系统，从此开始了开挂般的人生！ 传说古家先祖的极品武魂藏在祖祠的镇..
丹武毒尊,https://www.biqukan.cc/book/53156/,飞天牛 / 著,天才少年遭陷害，一朝觉醒毒体和万古毒尊轮回记忆。从此，修炼无双毒功，练就一手以毒炼丹之术，虐天才，镇强者，毒霸天下，逆天纵横..
邪御天娇,https://www.biqukan.cc/book/758/,纯情犀利哥 / 著,一个放浪形骸的现代人到异界附身在一个声名狼藉的过街老鼠兼败类身上，更悲剧的是，那败类还意图对倾国倾城林诗馨纪蝶行不轨。 被..
将武生之武家庶女别太毒,https://www.biqukan.cc/book/55607/,莫晓苏 / 著,天地共存，生之根本，武之溯源―― 武道之集大成时期，天、人、鬼界皆以习武成风，武学百花争鸣门派繁杂，“将武令”由生，统一天..
墨桑,https://www.biqukan.cc/book/11276/,闲听落花 / 著,心狠手辣的李桑柔，遇到骄横跋扈的顾��，就象王八看绿豆……
纯阳武神,https://www.biqukan.cc/book/4890/,想见江南 / 著,天行健，君子以自强不息！ 以身为船，以武为帆，承载不屈之灵魂，驰往永生之彼岸。 这是个“能以精诚致魂魄”的故事。。
长姐她富甲一方,https://www.biqukan.cc/book/6912/,茶暖 / 著,魂穿贫寒农家女，爹娘早死，小妹年幼，寄人篱下，日子艰难？ 立女户，赚银钱，安新家，养幼妹…… 庄清宁撸起袖子加油干，..
箭魔,https://www.biqukan.cc/book/7993/,明月夜色 / 著,这是一个属于弓箭手的传奇，不朽王座史上唯一的弓箭手意外陨落，降临九州，开启一条前所未有的箭道之路。世人眼中箭为小技，难成大道..
万古最强驸马,https://www.biqukan.cc/book/57432/,风宇雪 / 著,重生异世的楚天舒，发现自己正在进行一场冥婚，成婚对象居然是当朝公主！要命的是，参加冥婚的人，似乎都巴不得自己这个废物早点死！..
武逆焚天,https://www.biqukan.cc/book/202/,疯橘子 / 著,神奇的大陆，因神兽而支离破碎，又因神兽而得以重生！！ 各方势力追寻多年的重宝出世，一场腥风血雨正在酝酿…… 有些人眼中..
斗罗大陆4终极斗罗,https://www.biqukan.cc/book/50783/,唐家三少 / 著,一万年后，冰化了。 斗罗联邦科考队在极北之地科考时发现了一个有着金银双色花纹的蛋，用仪器探察之后，发现里面居然有生命体征，..
